question,response
To ask the Secretary of State for Justice how much (a) National Offender Management Service (NOMS) and (b) his Department spent on external consultancy fees related to NOMS in each of the last five years.,The information requested for the MoJ is published in the departments annual accounts. These can be found on gov.uk.Data for core NOMS spending on consultancy can be found in the table below.<table><tbody>YearNOMS Consultancy Spend2011/2012£64730002012/2013£2880002013/2014£2170002014/2015£1881000</tbody></table>As of 2015/16 NOMS consultancy spend is published in the annual report and accounts which is available on gov.uk.
To ask the Secretary of State for Justice with reference to the Answer of 10 December 2015 to Question 18873 what proportion of his Department's staff were agency workers covering (a) operational uniformed staff and (b) clerical agency staff in each year since 2010.,We only use temporary staff to fill business-critical posts and essential frontline services where they can offer a fast flexible and efficient way of providing skills not currently available in-house. The proportion of the departments staff agency workers either covering operational uniformed staff of clerical agency staff is displayed in the following table. Data prior to 2011/12 is not available.  <table><tbody>Year-end dateProportion of Operational Uniformed StaffProportion of Clerical agency staff31/03/20121.92%0.58%31/03/20132.03%0.76%31/03/20143.17%1.14%31/03/20154.61%1.61%</tbody></table> 
To ask the Secretary of State for Education what steps she is taking to improve the capacity of schools and colleges to support children and young persons who are experiencing mental illness.,"Children and young peoples mental health is a priority for the Department. We have high aspirations for all children and young people and we want them to be able to fulfil their potential. Good mental health is core to them achieving that outcome. To help children and young people maintain good mental health and access support when they need it we provide a range of information tools and guidance to enable schools and colleges to provide appropriate direct support for their pupils and to work collaboratively with health services and other providers.When diagnosable mental health problems occur schools and colleges need to be able to refer pupils to specialist support from Child and Adolescent Mental Health services (CAMHS) voluntary organisations and local GPs. To improve coordination between services the Department for Education and NHS England have run a joint £3m pilot between schools and CAMHS in 255 schools across 27 Clinical Commissioning Groups. This pilot aimed to improve knowledge and understanding of mental health issues develop and maintain effective joint working practices and to test the concept of having a 'single point of contact' in both schools and CAMHS. The outcomes from the pilot are being independently evaluated and a full report is expected by the end of this year with early findings very positive. We are currently working on plans to both extend the reach of the pilots and scale up activity in existing areas.We have published a blueprint for school counselling services which provides schools with practical evidence-based advice informed by schools and by counselling experts on how to deliver high quality school-based counselling to support those pupils with particular needs: <a href=\http://www.gov.uk/government/publications/counselling-in-schools\"" target=\""_blank\"">www.gov.uk/government/publications/counselling-in-schools</a>To help teachers to identify those pupils who need help we have issued advice on behaviour and mental health[1]. In addition we funded the PSHE Association (Personal Social Health and Economic Education)[2] to provide mental health guidance and lesson plans which support age-appropriate teaching dealing with emotions and helping teachers to talk to children about their anxieties and worries.Whilst not an alternative to professional interventions peer support programmes have the potential to provide effective additional support for pupils facing anxiety issues or other concerns. We are looking at encouraging the provision of quality peer support in schools and colleges community groups and online. We have announced £1.5m of funding for this work and are currently reviewing the findings from a national call for evidence.[1] <a href=\""http://www.gov.uk/government/publications/mental-health-and-behaviour-in-schools--2\"" target=\""_blank\"">www.gov.uk/government/publications/mental-health-and-behaviour-in-schools--2</a>[2] <a href=\""http://www.pshe-association.org.uk/\"" target=\""_blank\"">www.pshe-association.org.uk</a>"""
To ask the Secretary of State for Education how much her Department spent in the last five years on the provision of English language teachers for students recently arrived in the UK with little knowledge of that language.,The department distributes school funding to local authorities through the dedicated schools grant. Each local authority then devises a formula through which it allocates funding to schools in its locality. No funding is allocated on the basis of pupils who have recently arrived from overseas either from central government to local authorities or from local authorities to individual schools.Local authorities can include an ˜English as an additional language (EAL) factor in their funding formulae. EAL funding is determined on the basis of census data which records whether or not a pupils first language is English. Funding allocated through this factor forms part of the schools core budget and it is for school leaders to determine how best to use their whole budget so that all pupils can reach their full potential.We will introduce a national funding formula from 2017-18 so that funding is fair and matched to need. Our first consultation proposed that the formula should include an EAL factor. We will set out the precise detail of the formula in our second consultation.
To ask the Secretary of State for Education what estimate she has made of the number of children in (a) Bradford South constituency and (b) Yorkshire and the Humber who do not meet the expected levels of speech and communication skills in the Early Years Foundation Stage assessment.,The Government wants all children regardless of their background to have access to high quality early education and childcare as we know this is what makes the difference to outcomes. To help close the gap between disadvantaged children and their better off peers we introduced the two-year-old entitlement of 15 hours of free early education in September 2013. Already 70% of two-year-olds are benefitting from the free early education entitlement. We have also invested over £50 million in the Early Years Pupil Premium to further help disadvantaged children in the early years.While the Department does not carry out analysis at constituency level on the Early Years Foundation Stage (EYFS) Profile results information at Bradford local authority level shows a significant increase in the proportion of children reaching the expected level in communication and language. The most recent EYFS Profile results show that the gap has narrowed:<ul>For Bradford local authority: 78.3% in 2015 compared to 71.2% in 2014 and 66.6% in 2013; andFor the Yorkshire and Humberside region: 79.5% in 2015 compared to 75.7% in 2014 and 69.9% in 2013.</ul>The national picture shows a similar trend with the gap narrowing to 80.3% in 2015 from 77.1% in 2014 and 72.2% in 2013.
To ask the Secretary of State for Education what steps she is taking to ensure that all 18 year olds leaving school have the skills to prepare a high quality CV.,"The Department publishes statutory guidance (for schools which sets a clear framework for the provision of careers advice and guidance. The guidance which is available at <a href=\http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/440795/Careers_Guidance_Schools_Guidance.pdf\"" target=\""_blank\"">www.gov.uk/government/uploads/system/uploads/attachment_data/file/440795/Careers_Guidance_Schools_Guidance.pdf</a> sets out how every school should engage with local employers and professionals to ensure real-world connections are in place to prepare young people for working life. These activities could include speakers from the world of work mentoring workplace visits or help with basic career management skills like CV writing. The Careers &amp; Enterprise Company (CEC) continues to make excellent progress. Its Enterprise Adviser Network is brokering links between schools colleges and employers in 36 Local Enterprise Partnership areas; with 60 Enterprise Coordinators and 400 Enterprise Advisers working with schools and colleges to support their careers and enterprise provision. In March 2016 The CEC announced 33 successful bidders to its £5m careers and enterprise fund. This £5m investment from government will boost provision for nearly 250000 young people across England in 75% of the areas the company has identified as ˜cold spots. In addition the company is working to create a new generation of high-quality mentors to help teenagers fulfil their potential."""
To ask the Secretary of State for Education if she will estimate the cost of providing free school meals to children of people in receipt of universal credit upon the full roll-out of that benefit; and what the cost was of the provision of such free school meals to children of people in receipt of benefits prior to the roll-out of universal credit.,We will continue to ensure that children from the poorest families benefit from a free school meal. My Department is continuing to work closely with the Department for Work and Pensions to consider eligibility criteria for free school meals following the introduction of Universal Credit. In the meantime any child in a family in receipt of Universal Credit will continue to be entitled to free school meals.
To ask the Secretary of State for Education whether her Department plans to adjust the pupil premium funding for schools to take account of the additional responsibilities proposed in the Children and Social Work Bill in its current form.,The Children and Social Work Bill proposes a new duty on schools to appoint a designated teacher to promote the educational achievement of previously looked after children. The pupil premium plus is additional funding for schools to support the educational needs of looked-after children and those who were previously looked after but who have left care through an adoption Special Guardianship or Child Arrangements Order. The Spending Review confirmed that the pupil premium will be protected at current rates over the course of this Parliament. This protection applies to the pupil premium plus which will continue at £1900 per pupil. Pupil premium plus funding for pupils who were previously looked after is allocated directly to schools and it is for the head teacher to decide how best to use it to support the needs of these pupils.
To ask the Secretary of State for Education what estimate her Department has made of the proportion of the existing 15 hours of free childcare that is provided by nurseries that are (a) private (b) voluntary and (c) independent.,"The information requested is presented within the Main tables: SFR20/2015 at the following link:<a href=\https://www.gov.uk/government/statistics/provision-for-children-under-5-years-of-age-january-2015\"" target=\""_blank\"">Provision for children under 5 years of age: January 2015 - Publications - GOV.UK</a> Figures for 2-year-olds can be found within Table 1a and for 3- and 4-year-olds within Table 2a."""
To ask the Secretary of State for Education how much funding for children and young people with special educational needs was allocated to East Sussex local authority area through the dedicated schools grant in each of the last three years.,Funding for children and young people with special educational needs (SEN) is allocated to local authorities through the dedicated schools grant (DSG) which includes both funding to be delegated to mainstream schools and funding for the additional costs associated with educating children and young people with high needs. The Department does not allocate specific amounts of funding for children and young people with SEN within the funding allocated to local authorities for their mainstream schools. Schools are funded through a formula set by their local authority and local authorities are required to delegate funds to a level that enables schools to meet the additional costs of pupils with SEN up to £6000 per annum. For those pupils whose additional support costs more than £6000 the local authority pays top-up funding to the schools from their high needs budget. East Sussex County Councils high needs allocation within the dedicated schools grant in each of the last three years was as follows:2015-16: £44.06 million2014-15: £42.82 million2013-14: £40.94 million
To ask the Secretary of State for Education if she will make it her policy that any children who would have been entitled to free school meals under the previous system retain that entitlement under the new eligibility criteria under universal credit.,We will continue to ensure that children from the poorest families benefit from a free school meal. My Department is continuing to work closely with the Department for Work and Pensions to consider eligibility criteria for free school meals following the introduction of Universal Credit. In the meantime any child in a family in receipt of Universal Credit will continue to be entitled to free school meals.
To ask the Secretary of State for Education what estimate her Department has made of the additional cost relative to the previous system of additional entitlements to free school meals created by new eligibility criteria under universal credit.,We will continue to ensure that children from the poorest families benefit from a free school meal. My Department is continuing to work closely with the Department for Work and Pensions to consider eligibility criteria for free school meals following the introduction of Universal Credit. In the meantime any child in a family in receipt of Universal Credit will continue to be entitled to free school meals.
To ask the Secretary of State for Education when new eligibility criteria for free school meals under universal credit will be (a) published and (b) implemented.,We will continue to ensure that children from the poorest families benefit from a free school meal. My Department is continuing to work closely with the Department for Work and Pensions to consider eligibility criteria for free school meals following the introduction of Universal Credit. In the meantime any child in a family in receipt of Universal Credit will continue to be entitled to free school meals.
To ask the Secretary of State for Education when her Department plans to publish the findings from areas piloting 30 hours of free childcare.,We are currently commissioning the evaluation of early implementation of 30 hours free childcare. An invitation to tender was published in May 2016 with a view to awarding the contract to a successful bidder by the end of June 2016. The evaluation will focus on generating learning that can be used by Early Implementers and all local councils ahead of national implementation in September 2017.
To ask the Secretary of State for Justice how much was levied in respect of financial remedies in each key performance indicator designated in respect of the contractual agreement between his Department and G4S Care and Justice Services (UK) Limited at HM Prison Birmingham in each year since 2011.,Well-run prisons are fundamental to the proper functioning of our justice system and a vital part of our reform plans. Private providers play an important role in the prison estate. Performance of all providers is closely monitored and we will not hesitate to take action where standards fall short. All private prisons are managed by a full-time on-site controller. Where a provider fails to meet the expected level of performance financial remedies can be applied. This ensures that providers are incentivised to properly support the rehabilitation of offenders through a safe decent and secure regime. The attached table provides a breakdown of financial remedies applied for both HMP Birmingham and HMP Oakwood (HMP Featherstone II was the working name during construction of HMP Oakwood). No financial remedies were applied at either prison in 2011/12. Operation of HMP Birmingham transferred from HM Prison Service to G4S Justice Services in October 2011. HMP Oakwood opened in April 2012.
To ask the Secretary of State for Justice how much has been levied in financial remedies relating to each key performance indicator in the contractual agreement between his Department and HM Prison Featherstone II in each year since 2011.,Well-run prisons are fundamental to the proper functioning of our justice system and a vital part of our reform plans. Private providers play an important role in the prison estate. Performance of all providers is closely monitored and we will not hesitate to take action where standards fall short. All private prisons are managed by a full-time on-site controller. Where a provider fails to meet the expected level of performance financial remedies can be applied. This ensures that providers are incentivised to properly support the rehabilitation of offenders through a safe decent and secure regime. The attached table provides a breakdown of financial remedies applied for both HMP Birmingham and HMP Oakwood (HMP Featherstone II was the working name during construction of HMP Oakwood). No financial remedies were applied at either prison in 2011/12. Operation of HMP Birmingham transferred from HM Prison Service to G4S Justice Services in October 2011. HMP Oakwood opened in April 2012.
To ask the Secretary of State for Education how many children living in the Copeland constituency have been eligible to receive free school meals in each of the last six years.,"Data for the number of pupils eligible for free school meals in each school in England are available in the underlying data in each of the annual ˜Schools pupils and their characteristics statistical releases.[1] The number and proportion of pupils attending schools in Copeland who were known to be eligible for and claiming free school meals in each of the last six years is given in the table below. <table><tbody>YearNumber of pupils known to be eligible for and claiming free school mealsPercentage of pupils known to be eligible for and claiming free school meals2010142312.12011142012.02012136211.82013139512.32014135412.12015125311.1</tbody></table>Source: School Census [1] <a href=\https://www.gov.uk/government/collections/statistics-school-and-pupil-numbers\"" target=\""_blank\"">https://www.gov.uk/government/collections/statistics-school-and-pupil-numbers</a> - click on the relevant year and then ˜underlying data. The data is contained in files with ˜Schools_Pupils in the title."""
To ask the Secretary of State for Education how many school breakfast clubs there are in (a) Burnley and (b) Lancashire.,"The most recent results of the <em>Childcare and Early Years Providers Survey</em> suggest that in England in 2013 there were 12800 before school settings. Of these 1900 were in the North West. However it is not possible to identify within this total the number of settings in Burnley and Lancashire. The findings of the Survey can be found online at: <a href=\https://www.gov.uk/government/statistics/childcare-and-early-years-providers-survey-2013\"" target=\""_blank\"">https://www.gov.uk/government/statistics/childcare-and-early-years-providers-survey-2013</a> Later this year we will update the school performance tables and plan to publish alongside them information about all schools childcare provision including breakfast clubs."""
To ask the Secretary of State for Education what steps her Department is taking to increase the number of qualified early years teachers in nurseries.,The department delivers early years initial teacher training places through the National College for Teaching and Leadership. There are four training routes available: undergraduate assessment only graduate entry and graduate employment based. To encourage take up the Department funds course fees pays bursaries to eligible trainees on the graduate entry route and provides financial support to employers for those trainees on the graduate employment based route. As part of our thinking on the early years workforce strategy we will be considering how best to continue to grow the graduate workforce including supporting improved career progression. 
To ask the Secretary of State for Education what recent assessment she has made of the level of affordability of childcare.,"The Government uses a range of information from a number of different sources to consider the affordability of childcare including: our ˜Childcare and early years survey of parents (<a href=\http://www.gov.uk/government/statistics/childcare-and-early-years-survey-of-parents-2012-to-2013\"" target=\""_blank\"">www.gov.uk/government/statistics/childcare-and-early-years-survey-of-parents-2012-to-2013</a>) independent surveys such as the Family and Childcare Trust Annual Childcare Cost Surveys (<a href=\""http://www.familyandchildcaretrust.org/childcare-cost-survey-2015\"" target=\""_blank\"">www.familyandchildcaretrust.org/childcare-cost-survey-2015</a>) and the recent House of Lords Select Committees report on affordable childcare “ to which we responded on 17 December 2015 (<a href=\""https://www.gov.uk/government/publications/affordable-childcare-response-to-the-select-committee-report\"" target=\""_blank\"">https://www.gov.uk/government/publications/affordable-childcare-response-to-the-select-committee-report</a>). We are committed to supporting hard-working parents with the costs of childcare and to make it more affordable. That is why we will be investing an extra £1 billion per annum by 2019-20 to help hardworking families with the cost of childcare. Since 2008 nursery costs have been increasing well above inflation but the latest survey from the Family and Childcare Trust suggests that the nursery costs of childcare in England for both under and over two-year-olds have remained largely flat across all settings in the last year. We are already funding 15 hours a week of free early education for all three- and four-year-olds and for disadvantaged two-year-olds “ this saves families around £2500 per child per year. From September 2017 we will go further delivering an additional 15 hours of free childcare for the working parents of three- and four-year olds (with early implementation in some areas from September 2016) “ worth around another £2500 per child per year. We also continue to invest in the Early Years Pupil Premium. We are also introducing Tax-Free Childcare from early 2017 under which around 2 million families could benefit by up to £2000 per child per year or £4000 per child per year if a child is disabled. For working parents on low and middle incomes working tax credit pays up to 70% of their childcare costs and as of April 2016 this has increased to 85% under Universal Credit. This support will be available for the first time to those working fewer than 16 hours per week."""
To ask the Secretary of State for Education what steps she has taken to implement the provision of 15 additional hours of free childcare for working parents provided for under the Childcare Act 2016.,"At the 2015 Spending Review the Government announced that we would provide £300 million for a significant uplift to the rate paid for the free childcare entitlements for two- three- and four-year-olds from 2017-18. Together with the funding announced at last summers Budget we will be investing over £1 billion more per year by 2019-20 to fund our commitments on the entitlements. The Childcare Act which provides the legal framework for the extended entitlement received Royal Assent in March. We also announced in February the eight early implementer local authorities which will offer the extended free childcare entitlement from September 2016. This means around 5000 children will be able to benefit from 30 hours of high-quality free childcare places a year earlier than planned. The Department is also consulting on key elements of the operation and delivery of the extended free entitlement. This includes how the entitlement will be delivered and how it will meet and be responsive to the needs of working parents. To date we have received over 1000 responses from a wide range of childcare providers local authorities and provider organisations. We will use these views to inform our thinking as we move to delivering the 30 hours policy. The consultation is available at: <a href=\https://consult.education.gov.uk/early-years-funding/childcare-free-entitlement\"" target=\""_blank\"">https://consult.education.gov.uk/early-years-funding/childcare-free-entitlement</a>"""
To ask the Secretary of State for Education what guidance her Department provides on the level of fees a local authority may charge to administer the per nursery pupil payment for the provision of 30 hours free childcare.,"Local authorities are permitted to make deductions for administration costs from their Dedicated Schools Grant early years allocations. We expect local authorities to keep these costs to a minimum and are clear in our Early Education and Childcare statutory guidance that they should maximise the funding that is passed to providers. The rates of funding that local authorities pay to providers as well as the amounts they retain centrally are published in our early years funding benchmarking tool which can be found at: <a href=\https://www.gov.uk/government/publications/early-years-benchmarking-tool\"" target=\""_blank\"">https://www.gov.uk/government/publications/early-years-benchmarking-tool</a>. """
To ask the Secretary of State for Education whether the per pupil fee for the planned introduction of 30 hours free childcare  will be the same for each local authority.,At the Spending Review we announced the average funding rates will be increased as we promised during the General Election campaign. The new rates will be £4.88 for 3- and 4-year-olds and £5.39 for 2-year-olds. The Childcare Review has provided strong evidence that provider costs vary substantially across different parts of the country. There is therefore a strong rationale for varying funding rates between areas. We know however that there are historical inconsistencies and inefficiencies with the current funding system for 3- and 4-year-olds. We will introduce a national funding formula for early years so that funding is transparently and fairly matched to need and fairly distributed between different types of providers and different parts of the country.
To ask the Secretary of State for Education if she will estimate the number of children in Solihull constituency that would be currently eligible for 30 hours free childcare.,"We will publish figures for individual local authorities in due course. We can confirm that the additional 15 hours will be available to families where both parents are working (or the sole parent is working in a lone parent family) with each parent earning a weekly minimum equivalent to 16 hours at national minimum wage or living wage. Working will include employed and self-employed parents. In general families where one parent does not work (or neither parent works) will not be eligible for these additional hours. However we intend to make provision so that parents in certain circumstances will be regarded as being in work. This includes in the case of couple families where one parent is in receipt of benefits relating to caring responsibilities or a disability and those on parental leave. More information is set out in the December 2015 Policy Statement which is available online at: <a href=\https://www.gov.uk/government/publications/childcare-bill-policy-statement\"" target=\""_blank\"">https://www.gov.uk/government/publications/childcare-bill-policy-statement</a>"""
To ask the Secretary of State for Education what estimate her Department has made of the proportion of (a) private (b) voluntary and (c) independent nurseries which will provide the additional 15 hours of childcare under the provisions of the Childcare Act 2016.,The Department for Education publishes data on the number of children benefitting from funded early education places by type of provider and local authority. The latest information can be found in the Statistical First Release <em>Provision for children under five years of age in England</em>: January 2015 (SFR20/2015). As part of our ongoing development of our 30 hours implementation plans we are consulting extensively with key stakeholders including representative organisations and other individual providers. The government will continue to support the growth and creation of new places to deliver the 30 hours funded entitlement through investing at least £50 million of capital investment to support the creation of additional early years places. This is in addition to our commitment to capital funding to create nursery provision as part of new Free Schools which we estimate will create at least 4000 places.
To ask the Secretary of State for Education what the average hourly cost per child is to the public purse of the additional 15 hours free childcare provided for under the Childcare Act 2016 in (a) the UK (b) the North West and (c) Rochdale.,Currently the national average hourly rate paid by the Department for Education to local authorities in England is £4.56. From April 2017 the national average funding rate paid by the Department will increase to £4.88 per hour for three- and four-year-olds. This includes the average spend on the early years pupil premium which at current rates is approximately 5p per child per hour. More government investment and support than ever before is going towards high-quality early education: funding for the early years entitlements will increase from £2.7 billion per year to £3.9 billion per year during the course of this Parliament and this includes an uplift of £300 million per year. We recognise that the current funding system for funded early education creates unfair and unjustifiable differences between areas and providers. That is why we have announced that we will introduce a national funding formula for early years. The Government will be consulting on detailed proposals later this year. These figures refer to England as the early years entitlements are a devolved matter.
To ask the Secretary of State for Education what estimate her Department has made of the (a) likely level of uptake for the extra 15 hour a week childcare provided for under the Childcare Act 2016 and (b) number of people eligible for that extra childcare under the provisions of that Act.,The Government estimates that around 390000 three- and four-year-olds will be eligible for the additional 15 hours of free childcare and we expect that the majority of parents with eligible children will want to take up this generous offer. During our 2015 consultation we conducted an online survey and of nearly 20000 respondents around 89% said they would take up the additional hours if they were available now.
To ask the Secretary of State for Education how many children in (a) Leeds North West constituency and (b) Leeds city region are eligible for 15 hours free childcare.,"All three- and four-year-olds are eligible for funded early education. In addition two-year-olds are eligible for funded early education where their parents meet certain income and benefit related criteria[1]. The Department for Education does not publish data on eligibility at constituency or city-region level however information can be found on take-up and eligibility for funded early education at local authority level in the Statistical First Release: Provision for children under five years of age in England: January 2015[2] In January 2015 in Leeds local authority 4600 two-year-olds 10100 three-year-olds and 10000 four-year-olds were eligible for funded early education[3]. [1] <a href=\https://www.gov.uk/help-with-childcare-costs/free-childcare-and-education-for-2-to-4-year-olds\"" target=\""_blank\"">https://www.gov.uk/help-with-childcare-costs/free-childcare-and-education-for-2-to-4-year-olds</a>[2] <a href=\""https://www.gov.uk/government/statistics/provision-for-children-under-5-years-of-age-january-2015\"" target=\""_blank\"">https://www.gov.uk/government/statistics/provision-for-children-under-5-years-of-age-january-2015</a>[3] Figures have been rounded to the nearest 100."""
To ask the Secretary of State for Education what representations she has received from small childcare providers on her plans to increase free childcare entitlement to 30 hours per week and the ability of those providers to fund care places.,"The Department is consulting on key elements of the operation and delivery of the 30 hour extended free entitlement. This includes how the entitlement will be delivered and how it will meet and be responsive to the needs of working parents. To date we have received over 1000 responses from a wide range of childcare providers local authorities and provider organisations. We will use these views to inform our thinking as we move to delivering the 30 hours policy. The consultation is available at: <a href=\https://consult.education.gov.uk/early-years-funding/childcare-free-entitlement\"" target=\""_blank\"">https://consult.education.gov.uk/early-years-funding/childcare-free-entitlement</a> We know there are historical inconsistencies and inefficiencies with the current funding system for 3- and 4-year-olds. That is why we will introduce a national funding formula for early years so that funding is transparently and fairly matched to need and fairly distributed between different types of providers and different parts of the country."""
To ask the Secretary of State for Education what representations she has received from local authorities on the ability of those authorities to fund an increase in free childcare entitlement to 30 hours per week.,"The Department is consulting on key elements of the operation and delivery of the 30 hour extended free entitlement. This includes how the entitlement will be delivered and how it will meet and be responsive to the needs of working parents. To date we have received over 1000 responses from a wide range of childcare providers local authorities and provider organisations. We will use these views to inform our thinking as we move to delivering the 30 hours policy. The consultation is available at: <a href=\https://consult.education.gov.uk/early-years-funding/childcare-free-entitlement\"" target=\""_blank\"">https://consult.education.gov.uk/early-years-funding/childcare-free-entitlement</a> We know there are historical inconsistencies and inefficiencies with the current funding system for 3- and 4-year-olds. That is why we will introduce a national funding formula for early years so that funding is transparently and fairly matched to need and fairly distributed between different types of providers and different parts of the country."""
To ask the Secretary of State for Education what steps she is taking to evaluate the pilot schemes on increasing free childcare entitlement to 30 hours per week.,We are currently commissioning the evaluation of early implementation of 30 hours free childcare. An invitation to tender was published in May 2016 with a view to awarding the contract to a successful bidder by the end of June 2016. The evaluation will focus on generating learning that can be used by Early Implementers and all local councils ahead of national implementation in September 2017.
To ask the Secretary of State for Education what assessment she has made of the potential financial effect on nurseries in deprived areas of her plans to increase the free childcare entitlement to 30 hours per week.,"The government conducted a 6 month long review of the cost of childcare provision in 2015 - the most in depth analysis of this market we have ever had and was described by the National Audit Office as œthorough and wide-rangingù. This assessed the costs of different types of providers across the country including nurseries in deprived areas. The review is available online at: <a href=\https://www.gov.uk/government/publications/review-of-childcare-costs\"" target=\""_blank\"">https://www.gov.uk/government/publications/review-of-childcare-costs</a> Based on this information we announced at the 2015 Spending Review that the government would provide £300 million per year for a significant uplift to the average funding rates paid for the 2- 3- and 4-year-old entitlements from 2017-18. Together with the funding announced at last summers Budget we will be investing over £1 billion more per year by 2019-20 to fund our commitments on the entitlements. We will also be introducing a national funding formula for the early years so that funding is transparently and fairly matched to need and fairly distributed between different types of providers and different parts of the country. We will be consulting on detailed proposals later this year."""
To ask the Secretary of State for Education what discussions the Careers and Enterprise Company has held with the South East Local Enterprise Partnership on improving careers information advice and guidance in secondary schoolher within Tonbridge and Malling constituency.,"The Careers &amp; Enterprise Company (CEC) is continuing to make excellent progress towards transforming the provision of careers enterprise and employer engagement experiences for young people. The South East Local Enterprise Partnership is one of 36 Local Enterprise Partnerships across England participating in the Enterprise Adviser Network (EAN). As of May 2016 the EAN has 60 Enterprise Coordinators and 400 Enterprise Advisers working with schools and colleges. As the CEC is an independent organisation and we do not hold detailed information about its discussions with other organisations we suggest contacting the company directly for information on discussions it has held with the South East Local Enterprise Partnership. The CEC can be contacted at <a href=\mailto:info@careersandenterprise.co.uk\"" target=\""_blank\"">info@careersandenterprise.co.uk</a>."""
To ask the Secretary of State for Education if she will review funding levels for the care of 2 year old children.,The Prime Minister has committed publicly to an uplift in funding rates for early learning places which includes an uplift in funding levels for two year olds who are eligible for 15 hours of free early learning each week. An announcement was made in the November 2015 Autumn Statement indicating that a generous uplift would be made in the funding that early years providers will receive from April 2017. As a result of this extra investment the new national average rates will increase from £4.56 to £4.88 for three and four year olds (including the Early Years Pupil Premium) and from £5.09 to £5.39 for two year olds. The new funding amounts to an additional £300 million per year from 2017-18.The government is committed to making funding for the early years fairer. Thats why the government conducted its <em>Review of childcare costs: call for evidence</em> consultation between 15 June 2015 and 10 August 2015 to determine a rate of funding that is sustainable for providers and delivers value for money to the taxpayer. The findings of this review provided the government with vital evidence which has helped to inform the proposed increase in funding rates from 2017/18. We will consult on the proposed new funding allocation system shortly.
To ask the Secretary of State for Education how many (a) nursery schools (b) day-care facilities and (c) children's centres have closed due to funding shortages in each of the last three years.,The department does not collect information on the reasons for the closure of nursery schools day-care facilities or childrens centres. Nursery schoolsThe number of closed nursery schools are given by year in the table below. <table><tbody>Calendar YearNumber of MNS Closures201332014420155</tbody></table> Local authorities have a duty to secure sufficient childcare in their local area. In consultation with their Schools Forum they are responsible for deciding how best to distribute early years funding across their locality. There is a presumption against the closure of any maintained nursery school. The local authority must consult on any proposed closures clearly demonstrating the rationale for so doing. Day-care facilitiesThe childcare market has steadily expanded. The latest figures from the Childcare Providers Survey (September 2014) shows that the: <ul>number of registered places in full day care settings rose by ten per cent between 2011 and 2013. long term increase in the number of full day care providers continued in 2013. In total there were 17900 full day care settings in 2013 (compared to 17600 in 2011).</ul> Children's centresLocal authorities have a duty under the Childcare Act 2006 to ensure sufficient childrens centres to meet the needs of local families. Local authorities must meet their statutory duties on childrens centres from funding that forms part of the Department for Communities and Local Government (DCLG) Business Rates Retention Scheme. In addition other government funding including that for public health adult skills training and troubled families may also be used locally to support services delivered wholly or in part through childrens centres. Local authorities must consult fully before any significant changes are made to childrens centre services. There is a strong network of childrens centres. At 31 December 2015 there were 2605 main childrens centres open and 731 additional sites offering access to early childhood services. The numbers of closed childrens centres are given by year in the table below: <table><tbody>Calendar YearNumber of main childrens centres closed by year2013322014832015144</tbody></table>  
To ask the Secretary of State for Education pursuant to the Answer of 23 May 2016 to Question 37377 if she will place in the Library a copy of the report commissioned by Audenshaw School as part of an Ofsted requirement into the use of pupil premium money at that school.,The conditions of grant for the pupil premium make clear that its purpose is to raise the attainment of disadvantaged pupils. School leaders are best placed to decide how to spend the pupil premium in line with this policy and the needs of their pupils.It is for schools to commission pupil premium reviews and act upon the recommendations. The recommendations should inform their development of an improved strategy for raising the achievement of disadvantaged pupils and spending their pupil premium funding.The Department has not seen the pupil premium report which Ofsted asked the school to commission. However having reviewed the Ofsted report and information from the schools auditors we have not identified any grounds for further action.The Hon. Member Andrew Gwynne has met the Regional Schools Commissioner for Lancashire and West Yorkshire Vicky Beer on a number of occasions to discuss his concerns about Audenshaw School Academy Trust and contact is ongoing.
To ask the Secretary of State for Education pursuant to the Answer of 23 May 2016 to Question 37377 if she will meet with the hon. Member for Denton and Reddish to discuss his concerns about Audenshaw School.,The conditions of grant for the pupil premium make clear that its purpose is to raise the attainment of disadvantaged pupils. School leaders are best placed to decide how to spend the pupil premium in line with this policy and the needs of their pupils.It is for schools to commission pupil premium reviews and act upon the recommendations. The recommendations should inform their development of an improved strategy for raising the achievement of disadvantaged pupils and spending their pupil premium funding.The Department has not seen the pupil premium report which Ofsted asked the school to commission. However having reviewed the Ofsted report and information from the schools auditors we have not identified any grounds for further action.The Hon. Member Andrew Gwynne has met the Regional Schools Commissioner for Lancashire and West Yorkshire Vicky Beer on a number of occasions to discuss his concerns about Audenshaw School Academy Trust and contact is ongoing.
